fundingTime,fundingIntervalHours,fundingRate
1758326400000,8,0.00003757
1758355200000,8,-2.7E-7
1758384000002,8,-0.00001006
1758412800000,8,-0.00005322
1758441600000,8,0.00002563
1758470400000,8,0.00003742
1758499200005,8,0.00006665
1758528000003,8,0.00001743
1758556800000,8,0.00004838
1758585600000,8,0.00007062
1758614400001,8,0.00007083
1758643200000,8,0.00007478
1758672000003,8,0.00005794
1758700800001,8,0.00006267
1758729600002,8,0.00004886
1758758400000,8,-0.00000220
1758787200001,8,0.00001730
1758816000000,8,0.00009560
1758844800000,8,0.00003143
1758873600000,8,0.00004360
1758902400008,8,0.00007716
1758931200000,8,-1.0E-7
1758960000010,8,0.00003425
1758988800003,8,0.00007821
1759017600000,8,0.00003314
1759046400000,8,0.00004976
1759075200000,8,0.00005261
1759104000000,8,0.00002312
1759132800002,8,0.00001304
1759161600001,8,3.2E-7
1759190400002,8,0.00002353
1759219200005,8,0.00005893
1759248000000,8,0.00002584
1759276800000,8,0.00003355
1759305600000,8,0.00003457
1759334400000,8,0.00010000
1759363200000,8,0.00007784
1759392000013,8,0.00010000
1759420800000,8,0.00009543
1759449600006,8,0.00009926
1759478400006,8,0.00010000
1759507200000,8,0.00010000
1759536000001,8,0.00010000
1759564800000,8,0.00010000
1759593600000,8,0.00008312
1759622400000,8,0.00008648
1759651200003,8,0.00010000
1759680000009,8,0.00009566
1759708800004,8,0.00007672
1759737600002,8,0.00009708
1759766400004,8,0.00005831
1759795200000,8,0.00010000
1759824000003,8,0.00008608
1759852800000,8,0.00006194
1759881600000,8,0.00002542
1759910400006,8,0.00010000
1759939200002,8,0.00005396
1759968000001,8,0.00001344
1759996800000,8,0.00005350
1760025600000,8,0.00001455
1760054400005,8,0.00000785
1760083200002,8,0.00003879
1760112000014,8,0.00001013
1760140800000,8,0.00010000
1760169600003,8,0.00010000
1760198400000,8,0.00000467
1760227200004,8,-0.00003055
1760256000002,8,0.00002865
1760284800000,8,-0.00010915
1760313600003,8,-0.00003942
1760342400002,8,0.00002519
1760371200003,8,-0.00002305
1760400000000,8,-0.00004041
1760428800000,8,0.00000712
1760457600000,8,-0.00004498
1760486400006,8,-0.00005425
1760515200002,8,0.00003973
1760544000000,8,0.00000225
1760572800000,8,-0.00002741
1760601600003,8,-0.00002230
1760630400002,8,-0.00003004
1760659200001,8,-0.00000285
1760688000005,8,-0.00000634
1760716800003,8,-0.00000291
1760745600000,8,-0.00004819
1760774400002,8,-0.00006376
1760803200001,8,-0.00003681
1760832000001,8,-0.00001411
1760860800001,8,0.00001512
1760889600001,8,0.00002787
1760918400004,8,-0.00002197
1760947200001,8,-0.00000665
1760976000000,8,-1.8E-7
1761004800009,8,-0.00005567
1761033600000,8,0.00002222
1761062400000,8,-0.00002506
1761091200004,8,-0.00004212
1761120000000,8,0.00002445
1761148800000,8,0.00005702
1761177600000,8,0.00008911
1761206400001,8,0.00002673
1761235200004,8,0.00003933
1761264000000,8,0.00003391
1761292800000,8,0.00001783
1761321600009,8,0.00003224
1761350400000,8,0.00005020
1761379200001,8,0.00001484
1761408000001,8,0.00005570
1761436800001,8,0.00001903
1761465600001,8,0.00000535
1761494400000,8,0.00006904
1761523200000,8,0.00010000
1761552000005,8,0.00010000
1761580800000,8,0.00007304
1761609600000,8,0.00006059
1761638400000,8,0.00007806
1761667200004,8,0.00002992
1761696000004,8,-3.2E-7
1761724800005,8,0.00003588
1761753600000,8,0.00005003
1761782400004,8,0.00001097
1761811200008,8,0.00003449
1761840000001,8,0.00003562
1761868800000,8,0.00000213
1761897600008,8,0.00010000
1761926400007,8,0.00010000
1761955200001,8,0.00010000
1761984000000,8,0.00010000
1762012800000,8,0.00009782
1762041600007,8,0.00008200
1762070400000,8,0.00008150
1762099200001,8,0.00005635
1762128000000,8,0.00006098
1762156800010,8,0.00006853
1762185600000,8,0.00005329
1762214400002,8,0.00010000
1762243200004,8,0.00005808
1762272000000,8,0.00006339
1762300800000,8,0.00007132
1762329600000,8,0.00002831
1762358400004,8,0.00002816
1762387200001,8,0.00003985
1762416000000,8,0.00007916
1762444800001,8,0.00004494
1762473600005,8,0.00004705
1762502400003,8,0.00004227
1762531200005,8,0.00008631
1762560000011,8,0.00007776
1762588800015,8,0.00003047
1762617600001,8,0.00003740
1762646400004,8,-0.00001640
1762675200000,8,0.00004187
1762704000005,8,0.00008948
1762732800000,8,0.00008870
1762761600000,8,0.00007355
1762790400003,8,0.00004979
1762819200007,8,0.00002818
1762848000000,8,-0.00002775
1762876800009,8,0.00005823
1762905600000,8,0.00002462
1762934400002,8,0.00000687
1762963200000,8,0.00005786
1762992000002,8,0.00001077
1763020800000,8,0.00009352
1763049600001,8,0.00007448
1763078400000,8,0.00008569
1763107200000,8,0.00009126
1763136000001,8,0.00009078
1763164800005,8,0.00008507
1763193600000,8,0.00010000
1763222400001,8,0.00005923
1763251200001,8,0.00007745
1763280000000,8,0.00010000
1763308800000,8,0.00007060
1763337600003,8,0.00010000
1763366400003,8,0.00009568
1763395200000,8,0.00007208
1763424000002,8,0.00010000
1763452800004,8,0.00010000
1763481600000,8,0.00003725
1763510400000,8,0.00007496
1763539200000,8,0.00005012
1763568000008,8,0.00003980
1763596800000,8,0.00004259
1763625600000,8,0.00010000
1763654400000,8,0.00008999
1763683200001,8,0.00004272
1763712000000,8,0.00004524
1763740800001,8,0.00002642
1763769600004,8,0.00001373
1763798400000,8,0.00006735
1763827200000,8,0.00005057
1763856000000,8,0.00003812
1763884800008,8,0.00000153
1763913600003,8,-0.00000893
1763942400004,8,-6E-8
